;;;;;Energia;Macronutrientes;;;A.G. Saturados;A.G. Insaturados;;;Fibra   ;;;Macrominerales;;;;;Oligoelementos;;;;;Vit. Liposolubles;;;;Vit. Hidrosolubles;;;;;;;;Verificacion;;;;;;;
Grupo alimentario;#;Alimento;Cantidad(g/mL);Medida casera;Kcal;CHO(g);Proteina(g);Grasa(g);A.G.S(g);A.G.M(g);A.G.P(g);Colesterol (mg);Fibra soluble;Fibra insoluble;Fibra total;Calcio(Ca)(mg);Fosforo(P)(mg);Sodio(Na)(mg);Potasio(K)(mg);Magnesio(Mg)(mg);Hierro(Fe)(mg);Zinc(Zn) (mg);Cobre(Cu)(mg);Manganeso(Mn)(mg);Selenio(Se)(mcg);Vit. E(mg);Vit.K(mcg);Vit.D(UI);Vit.A(ER); Vit.B1(mg);Vit.B2(mg);Vit.B3(mg);Vit.B5(mg);Vit.B6(mg);Vit.B9(mcg);Vit.B12(mcg);Vit.C(mg);Aprobado;;;;;;;
AP7;25;Queso de leche de cabra crudo;15;1/2 onza;75;0,3;4,58;5,34;3,69;1,22;0,13;15,75;0,00;0,00;0,00;134,25;109,35;51,90;7,20;8,10;0,29;0,24;0,09;0,04;0,00;0,00;0,00;0,00;67,05;0,02;0,18;0,36;0,06;0,01;0,60;0,02;0,00;;;;;;;;
AP8;26;Queso de leche de cabra semiblando;20;1 tajada delgada;75;0,5;4,32;5,96;4,13;1,36;0,14;15,80;0,00;0,00;0,00;59,60;75,00;103,00;31,60;5,80;0,32;13,20;11,20;0,02;0,00;0,00;0,00;0,00;80,00;0,01;0,14;0,22;0,04;0,01;0,40;0,04;0,00;;;;;;;;
AP9;27;Queso de leche de cabra blando;30;1 onza;75;0,1;5,55;1,06;0,73;0,24;0,03;2,30;0,00;0,00;0,00;7,00;12,80;0,18;1,30;0,80;0,10;0,05;3,65;0,01;0,00;0,00;0,00;0,00;14,15;0,00;0,02;0,02;3,40;0,01;0,60;0,01;0,00;;;;;;;;
AP10;28;Huevo de codorniz entero;45;4 unidades;75;0,2;5,90;5,00;1,60;1,94;0,59;379,80;0,00;0,00;0,00;28,80;101,70;63,45;59,40;5,85;1,67;0,66;0,03;0,02;14,40;0,33;0,00;0,00;40,50;0,06;0,36;0,09;0,79;0,07;29,70;0,71;0,00;;;;;;;;
C1;29;Carne de res de todos los cortes magra;100;3 onzas;150;0,0;21,5;6,5;2,3;2,6;0,2;59,0;0,0;0,0;0,0;6,0;215,0;63,0;356,0;22,0;2,7;4,3;0,1;0,0;18,3;0,0;0,0;12,0;0,0;0,1;0,2;5,1;0,4;0,4;7,0;3,3;0,0;Revisado;;;;;;;
C2;30;Carne de res de todos los cortes grasa aprox.17%;65;1/8 libra;150;0,0;12,2;11,2;4,5;4,8;0,4;42,9;0,0;0,0;0,0;3,9;136,5;37,7;198,9;12,4;2,0;2,4;0,1;0,0;9,1;0,1;0,0;0,0;0,0;0,0;0,1;2,8;0,2;0,3;3,9;1,9;0,0;;;;;;;;
C3;31;Carne de res grasa aprox.25%;50;1,5 onzas;150;0,0;8,0;12,6;5,2;5,5;0,5;34,5;0,0;0,0;0,0;4,0;105,0;26,0;140,5;8,5;1,3;1,5;0,0;0,0;0,5;0,1;0,0;0,0;11,0;0,0;0,1;1,6;0,2;0,2;3,0;1,3;0,0;;;;;;;;
C4;32;Costilla de res grasa aprox.25%;40;1 cuadro pequeño;150;0,0;6,6;10,4;4,3;4,5;0,4;28,0;0,0;0,0;0,0;3,6;62,4;22,0;108,8;6,4;0,7;1,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;1,1;0,1;0,1;2,0;1,1;0,0;;;;;;;;
C5;33;Costilla de res grasa mayor del 30%;25;1 onza;150;0,0;3,6;9,1;3,9;4,1;0,3;19,0;0,0;0,0;0,0;2,3;34,3;12,3;58,0;3,5;0,4;0,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,7;0,1;0,1;1,3;0,6;0,0;;;;;;;;
C6;34;T-Bone steak, res magro;65;1/8 libra;150;0,0;13,5;4,8;1,8;2,2;0,2;35,8;0,0;0,0;0,0;3,3;124,8;37,7;228,2;15,0;1,5;2,4;0,1;0,0;11,6;0,1;0,0;12,0;0,0;0,1;0,1;2,6;0,2;0,3;4,6;1,9;0,0;;;;;;;;
