;;;;;Energia;Macronutrientes;;;A.G. Saturados;A.G. Insaturados;;;Fibra   ;;;Macrominerales;;;;;Oligoelementos;;;;;Vit. Liposolubles;;;;Vit. Hidrosolubles;;;;;;;;Verificacion;;;;;;;
Grupo alimentario;#;Alimento;Cantidad(g/mL);Medida casera;Kcal;CHO(g);Proteina(g);Grasa(g);A.G.S(g);A.G.M(g);A.G.P(g);Colesterol (mg);Fibra soluble;Fibra insoluble;Fibra total;Calcio(Ca)(mg);Fosforo(P)(mg);Sodio(Na)(mg);Potasio(K)(mg);Magnesio(Mg)(mg);Hierro(Fe)(mg);Zinc(Zn) (mg);Cobre(Cu)(mg);Manganeso(Mn)(mg);Selenio(Se)(mcg);Vit. E(mg);Vit.K(mcg);Vit.D(UI);Vit.A(ER); Vit.B1(mg);Vit.B2(mg);Vit.B3(mg);Vit.B5(mg);Vit.B6(mg);Vit.B9(mcg);Vit.B12(mcg);Vit.C(mg);Aprobado;;;;;;;
V13;143;Cebolla comun, hojas, tallos;40;1 gajo;13;2,92;0,72;0,08;0,01;0,01;0,03;0,00;0,00;0,00;0,00;28,80;14,80;6,40;110,40;8,00;0,60;0,16;0,03;0,06;0,00;0,00;0,00;0,00;15,60;0,02;0,03;0,20;0,03;0,02;25,60;0,00;7,60;;;;;;;;
V14;144;Cebolla puerro;20;1 gajo mediano;13;2,84;0,30;0,06;0,01;0,00;0,03;0,00;0,00;0,00;0,36;11,80;7,00;4,00;36,00;5,60;0,42;0,02;0,02;0,10;0,20;0,18;0,00;0,00;2,00;0,01;0,01;0,08;0,03;0,05;12,80;0,00;2,40;;;;;;;;
V15;145;Cidrayota;70;1/2 unidad grande;13;3,15;0,56;0,07;0,02;0,01;0,04;0,00;0,00;0,00;1,19;11,90;12,60;1,40;87,50;8,40;0,21;0,52;0,08;0,13;0,14;0,08;0,00;0,00;4,20;0,02;0,02;0,35;0,18;0,06;65,10;0,00;5,60;;;;;;;;
V16;146;Col;45;2 hojas aprox.;13;2,57;1,13;0,18;0,03;0,01;0,09;0,00;0,00;0,00;1,62;65,25;4,50;9,00;76,05;4,05;0,09;0,06;0,02;0,13;0,59;0,00;0,00;0,00;171,90;0,02;0,06;0,32;0,12;0,08;74,70;0,00;15,75;;;;;;;;
V17;147;Colinabo sin cascara;45;1 unidad mediana;13;3,02;0,81;0,05;0,00;0,00;0,02;0,00;0,00;0,00;1,62;11,25;20,25;9,45;153,00;8,55;0,18;0,14;0,06;0,06;0,32;0,22;0,00;0,00;1,80;0,02;0,01;0,02;0,07;0,07;5,40;0,00;24,30;;;;;;;;
V18;148;Coliflor;45;3 flores grandes;13;2,16;1,35;0,05;0,01;0,00;0,05;0,00;0,41;0,41;0,81;19,80;31,50;13,50;136,35;6,75;0,32;0,13;0,02;0,07;0,27;0,02;85,95;0,00;0,90;0,05;0,04;0,03;0,29;0,10;25,65;0,00;13,50;;;;;;;;
V19;149;Cubios;20;1 unidad;13;2,62;0,32;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,40;9,80;0,00;0,00;0,00;0,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,12;0,00;0,00;0,00;0,00;24,00;;;;;;;;
V20;150;Champiñones;55;5 unidades grandes;13;2,44;1,09;0,21;0,03;0,01;0,09;0,00;0,00;0,00;0,62;2,60;54,08;2,08;192,40;5,20;0,62;0,38;0,25;0,06;6,40;0,06;4,16;39,52;0,00;0,05;0,23;2,13;1,14;0,05;10,92;0,00;2,08;;;;;;;;
V21;151;Champiñones enlatados solidos;55;5 unidades grandes;13;2,75;1,05;0,17;0,02;0,01;0,06;0,00;0,00;0,00;1,32;6,05;36,30;2,34;70,95;8,25;0,44;8,25;0,40;0,13;2,26;6,60;0,00;0,00;0,00;0,05;0,01;0,88;0,45;0,03;6,60;0,00;0,00;;;;;;;;
V22;152;Chuguas o ullucos;20;1 unidad;13;2,66;0,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;11,40;0,00;0,00;0,00;0,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,08;0,00;0,00;0,00;0,00;4,00;;;;;;;;
V23;153;Espinaca;60;1 taza;13;2,10;1,74;0,24;0,04;0,01;0,09;0,00;0,30;0,78;1,08;59,40;29,40;47,40;334,80;47,40;1,62;0,32;0,08;0,54;0,60;1,13;159,60;0,00;403,20;0,05;0,11;0,42;0,04;0,12;116,40;0,00;16,80;;;;;;;;
V24;154;Esparragos;55;5 unidades  ;13;2,48;1,27;0,11;0,03;0,01;0,05;0,00;0,44;0,50;0,94;11,55;30,80;1,10;150,15;9,90;0,50;0,25;0,10;0,14;1,27;1,10;21,45;0,00;31,90;0,08;0,07;0,66;0,09;0,07;70,40;0,00;7,15;;;;;;;;
V25;155;Esparragos enlatados solidos;70;7 unidades;13;1,75;1,47;0,49;0,11;0,01;0,20;0,00;0,00;0,00;1,12;11,20;30,10;2,01;120,40;7,00;1,26;0,28;0,07;0,12;1,19;0,30;0,00;0,00;37,10;0,04;0,07;0,70;0,10;0,08;67,20;0,00;12,60;;;;;;;;
V26;156;Guascas;30;1/4 taza;13;2,10;0,96;0,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;73,50;13,50;0,00;0,00;0,00;2,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;96,00;0,03;0,08;0,63;0,00;0,00;0,00;0,00;9,00;;;;;;;;
V27;157;Habichuela;40;4 unidades medianas;13;2,84;0,72;0,04;0,01;0,00;0,02;0,00;0,00;0,00;1,36;14,80;15,20;2,40;83,60;10,00;0,40;0,10;0,03;0,08;0,24;0,16;11,20;0,00;26,80;0,03;0,04;0,32;0,04;0,03;14,80;0,00;6,40;;;;;;;;
V28;158;Habichuela enlatada solidos;65;6 unidades medianas;13;2,93;0,78;0,07;0,01;0,00;0,03;0,00;0,00;0,00;1,24;16,90;12,35;170,30;70,85;8,45;0,59;0,19;0,03;0,13;0,26;0,09;0,00;0,00;22,75;0,01;0,04;0,13;0,08;0,03;20,80;0,00;3,25;;;;;;;;
V29;159;Ibias tuberculo con cascara;25;1 unidad;13;3,15;0,28;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;10,50;0,00;0,00;0,00;0,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,10;0,00;0,00;0,00;0,00;6,25;;;;;;;;
V30;160;Jengibre raiz;20;n.n;13;3,02;0,34;0,14;0,04;0,03;0,03;0,00;0,00;0,00;0,40;3,60;5,40;2,60;83,00;8,60;0,10;0,07;0,05;0,05;0,14;0,05;0,00;0,00;0,00;0,00;0,01;0,14;0,04;0,03;2,20;0,00;1,00;;;;;;;;
V31;161;Lechuga batavia;110;3 hojas medianas;13;2,31;1,10;0,22;0,03;0,01;0,11;0,00;0,66;0,66;1,32;20,90;22,00;9,90;173,80;9,90;0,55;0,24;0,03;0,17;0,22;0,31;0,00;0,00;36,30;0,06;0,03;0,22;0,06;0,04;61,60;0,00;4,40;;;;;;;;
V32;162;Lechuga comun;70;4 hojas grandes;13;2,45;0,91;0,21;0,03;0,01;0,11;0,00;0,00;0,00;1,33;47,60;17,50;6,30;184,80;7,70;0,98;0,20;0,03;0,53;0,14;0,31;79,10;0,00;133,00;0,04;0,06;0,28;0,14;0,04;35,00;0,00;12,60;;;;;;;;
V33;163;Lechuga romana;95;3 hojas grandes;13;2,28;1,52;0,19;0,03;0,01;0,10;0,00;0,00;0,00;1,62;34,20;42,75;7,60;275,50;5,70;1,05;0,24;0,04;0,61;0,00;0,00;0,00;0,00;247,00;0,10;0,10;0,48;0,16;0,05;129,20;0,00;22,80;;;;;;;;
V34;164;Maiz tierno o choclo;15;1 cucharada sopera;13;2,85;0,48;0,18;0,03;0,05;0,08;0,00;0,00;0,00;0,48;0,30;13,35;2,25;40,50;5,55;0,08;0,07;0,01;0,02;0,09;0,01;0,00;0,00;4,20;0,03;0,01;0,26;0,11;0,01;6,90;0,00;1,05;;;;;;;;
V35;165;Maiz tierno o choclo amarillo enlatado;15;2 cucharada sopera;13;2,79;0,39;0,15;0,02;0,04;0,07;0,00;0,00;0,00;0,00;0,75;9,75;32,10;29,25;3,00;0,14;0,06;0,01;0,03;0,00;0,00;0,00;0,00;2,40;0,00;0,01;0,18;0,10;0,01;7,35;0,00;1,35;;;;;;;;
V36;166;Nabos sin cascara;50;1 unidad mediana;13;3,10;0,45;0,05;0,01;0,01;0,03;0,00;0,00;0,00;0,00;15,00;13,50;33,50;95,50;5,50;0,15;0,14;0,05;0,07;0,35;0,02;0,00;0,00;0,00;0,02;0,02;0,20;0,10;0,05;7,50;0,00;10,50;;;;;;;;
V37;167;Nacuma cogollo tierno;50;2 cucharadas ;13;1,70;1,70;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;50,00;50,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,05;0,20;0,00;0,00;0,00;0,00;0,50;;;;;;;;
V38;168;Palmitos enlatados solidos;45;1/2 pocillo;13;2,07;1,13;0,03;0,06;0,05;0,09;0,00;0,00;0,00;0,00;26,10;29,25;191,70;79,65;17,10;1,40;0,52;0,06;0,63;0,00;0,00;0,00;0,00;0,00;0,00;0,03;0,18;0,06;0,01;17,55;0,00;3,60;;;;;;;;
V39;169;Pepino cohombro con cascara;100;1/2 unidad grande;13;2,80;0,70;0,10;0,03;0,00;0,05;0,00;0,10;0,80;0,90;14,00;20,00;2,00;144,00;11,00;0,30;0,20;0,03;0,08;0,00;0,08;5,00;0,00;21,00;0,02;0,02;0,20;0,18;0,04;13,00;0,00;5,00;;;;;;;;
V40;170;Pepino de rellenar;100;1 unidad grande;13;2,60;0,60;0,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;32,00;0,00;0,00;0,00;0,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,04;0,05;0,20;0,00;0,00;0,00;0,00;5,00;;;;;;;;
V41;171;Pimenton rojo;50;1 unidad pequeña;13;3,20;0,45;0,10;0,02;0,01;0,05;0,00;0,00;0,00;0,00;4,50;9,50;1,00;88,50;5,00;0,25;0,06;0,04;0,06;0,15;0,35;0,00;0,00;285,00;0,04;0,02;0,25;0,04;0,13;11,00;0,00;95,00;;;;;;;;
V42;172;Pimenton amarillo;50;1 unidad pequeña;13;3,15;0,50;0,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,50;12,00;1,00;106,00;6,00;0,25;0,09;0,06;0,06;0,00;0,00;0,00;0,00;12,00;0,02;0,02;0,45;0,09;0,09;13,00;0,00;92,00;;;;;;;;
V43;173;Pimenton verde;50;1 unidad pequeña;13;3,20;0,45;0,10;0,02;0,01;0,05;0,00;0,00;0,00;0,00;4,50;9,50;1,00;88,50;5,00;0,25;0,06;0,04;0,06;0,15;0,35;0,00;0,00;31,50;0,04;0,02;0,25;0,04;0,13;11,00;0,00;44,50;;;;;;;;
V44;174;Pimenton jalapeño;45;2 unidades pequeñas;13;2,66;0,63;0,27;0,03;0,01;0,14;0,00;0,09;0,68;0,77;4,50;13,95;0,45;96,75;8,55;0,32;0,10;0,06;0,11;0,00;0,00;0,00;0,00;9,90;0,06;0,03;0,50;0,01;0,23;21,15;0,00;19,80;;;;;;;;
V45;175;Rabano rojo con cascara;65;1 unidad mediana;13;2,34;0,39;0,33;0,02;0,01;0,03;0,00;0,07;0,85;0,91;13,65;11,70;15,60;150,80;5,85;0,20;0,20;0,03;0,05;0,46;0,01;0,00;0,00;0,65;0,01;0,03;0,20;0,06;0,05;17,55;0,00;14,95;;;;;;;;
V46;176;Remolacha;30;1 rodaja grande;13;2,88;0,48;0,06;0,01;0,01;0,02;0,00;0,15;0,63;0,78;4,80;12,00;23,40;97,50;6,90;0,24;0,11;0,02;0,10;0,21;0,09;1,50;0,00;1,20;0,01;0,01;0,09;0,05;0,02;32,70;0,00;1,50;;;;;;;;
V47;177;Repollitas de brucelas;30;6 unidades;13;2,70;1,02;0,09;0,02;0,01;0,05;0,00;0,00;0,00;1,14;12,60;20,70;7,50;116,70;6,90;0,42;0,13;0,02;0,10;0,48;0,26;0,00;0,00;26,40;0,04;0,03;0,24;0,09;0,07;18,30;0,00;25,50;;;;;;;;
V48;178;Repollo morado;50;2 hojas grandes;13;3,05;0,70;0,15;0,02;0,01;0,07;0,00;0,00;0,00;1,00;25,50;21,00;5,50;103,00;7,50;0,25;0,11;0,05;0,09;0,45;0,05;0,00;0,00;2,00;0,03;0,02;0,15;0,16;0,11;10,50;0,00;28,50;;;;;;;;
V49;179;Repollo comun;50;2 hojas grandes;13;2,70;0,70;0,15;0,02;0,01;0,06;0,00;0,00;0,00;1,15;23,50;11,50;9,00;123,00;7,50;0,30;0,09;0,01;0,08;0,45;0,05;74,50;0,00;6,50;0,03;0,02;0,15;0,07;0,05;21,50;0,00;16,00;;;;;;;;
V50;180;Ruibarbo;60;1 tallo  ;13;2,70;0,54;0,12;0,03;0,02;0,06;0,00;0,00;0,00;1,08;51,60;8,40;2,40;172,80;7,20;0,12;0,06;0,01;0,12;0,66;0,12;0,00;0,00;0,60;0,01;0,02;0,18;0,05;0,01;4,20;0,00;4,80;;;;;;;;
V51;181;Tomate verde;55;1 unidad pequeña;13;2,81;0,66;0,11;0,02;0,02;0,06;0,00;0,11;0,83;0,94;7,15;15,40;7,15;112,20;5,50;0,28;0,04;0,05;0,06;0,22;0,21;25,85;0,00;35,20;0,03;0,02;0,28;0,28;0,04;4,95;0,00;12,65;;;;;;;;
V52;182;Zanahoria;30;2 rodajas grandes;13;3,03;0,30;0,06;0,01;0,00;0,04;0,00;0,42;0,30;0,72;8,10;13,20;10,50;96,90;4,50;0,15;0,06;0,02;0,04;0,33;0,14;3,90;0,00;843,90;0,03;0,02;0,27;0,06;0,05;4,20;0,00;2,70;;;;;;;;
V53;183;Zuccini;95;1/2 unidad mediana;13;2,75;0,57;0,09;0,02;0,00;0,02;0,00;0,00;1,14;1,14;14,25;30,40;2,85;235,60;20,90;0,38;0,19;0,05;0,12;0,00;0,00;0,00;0,00;32,30;0,06;0,02;0,38;0,07;0,08;20,90;0,00;8,55;;;;;;;;
;;;;Promedio;13;2,65;0,82;0,14;0,02;0,01;0,05;0,00;0,10;0,21;0,76;20,25;20,48;18,11;113,62;9,09;0,44;0,29;0,05;0,12;0,44;0,31;9,17;0,75;68,54;0,03;0,04;0,31;0,12;0,05;21,66;0,00;14,16;;;;;;;;
FR1;184;Guayaba comun;60;1 unidad mediana;30;7,14;0,48;0,36;0,1;0,04;0,15;0;0,83;3,36;4,19;12;15;1,8;170,4;6;0,18;0,14;0,06;0,08;0,36;0,67;0;0;47,4;0,03;0,03;0,72;0,09;0,08;8,4;0;110,4;Revisado ;;;;;;;
FR2;185;Anon pulpa sin semilla;30;1 onza;30;7,62;0,69;0,09;0,02;0,03;0,01;0;0;0;1,32;3;12;2,7;74,1;6,3;0,12;0,03;0,03;0;0,18;0,18;0;0;0,3;0,03;0,05;0,24;0,07;0,06;4,2;0;12;;;;;;;;
FR3;186;Badea jugo sin semilla;75;2 y 1/2 onzas;30;7,58;0,68;0,15;0;0;0;0;0;0;0;7,5;16,5;0;0;0;0,45;0;0;0;0;0;0;0;5,25;0;0,08;2,03;0;0;0;0;15;;;;;;;;
FR4;187;Banano bocadillo pulpa;30;1 unidad pequeña;30;8,22;0,36;0,03;0;0;0;0;0;0;0;1,5;7,8;0;0;0;0,12;0;0;0;0;0;0;0;6;0,01;0,01;0,15;0;0;0;0;3;;;;;;;;
FR5;188;Banano comun pulpa;35;1/3 unidad;30;8,19;0,35;0,18;0,07;0,01;0,03;0;0,25;0,14;0,39;2,1;7;0,35;138,6;10,15;0,11;0,06;0,04;0,05;0,39;0,09;0,18;0;2,8;0,02;0,04;0,18;0,09;0,2;6,65;0;3,15;;;;;;;;
FR6;189;Banano manzano;30;1/3 unidad;30;8,1;0,36;0,06;0;0;0;0;0;0;0;1,8;8,7;0;0;0;0,12;0;0;0;0;0;0;0;0;0,02;0,01;0,15;0;0;0;0;4,5;;;;;;;;
FR7;190;Banano pacifico;30;1/3 unidad;30;7,56;0,33;0,06;0;0;0;0;0;0;0;1,8;6,6;0;0;0;0,12;0;0;0;0;0;0;0;27;0,01;0,01;0,18;0;0;0;0;4,5;;;;;;;;
FR8;191;Brevas;40;1 unidad;30;7,68;0,32;0,12;0,02;0,03;0,06;0;0;0;1,32;14;5,6;0,4;92,8;6,8;0,16;0,06;0,03;0,05;0,24;0,36;0;0;5,6;0,02;0,02;0,16;0,12;0,04;0;0;0,8;;;;;;;;
FR9;192;Cereza dulce con cascara sin semilla;40;4 unidades;30;6,64;0,48;0,4;0,09;0,1;0,12;0;0;0;0,92;6;7,6;0;89,6;4,4;0,16;0,02;0,04;0,04;0,24;0,05;0;0;8,4;0,02;0,02;0,16;0,05;0,02;1,6;0;2,8;;;;;;;;
FR10;193;Ciruela comun pulpa sin semilla ni cascara;40;4 unidades;30;8,32;0,4;0,04;0;0;0;0;0,32;0,16;0,48;8;12;0;0;0;0,2;0;0;0;0;0;0;0;5,6;0,03;0,01;0,2;0;0;0;0;12;;;;;;;;
FR11;194;Ciruela claudia;55;1 unidad;30;7,15;0,44;0,33;0,03;0,23;0,07;0;0;0;0,83;2,2;5,5;0;94,6;3,85;0,06;0,06;0,02;0,03;0,28;0,33;0;0;17,6;0,02;0,06;0,28;0,1;0,04;1,1;0;5,5;;;;;;;;
FR12;195;Curuba pulpa o jugo;120;4 onzas;30;7,56;0,72;0,12;0;0;0;0;0;0;0;4,8;24;0;0;0;0,48;0;0;0;0;0;0;0;204;0;0,04;3;0;0;0;0;84;;;;;;;;
FR13;196;Chirimoya pulpa;40;1/4 unidad  ;30;7,28;0,76;0,04;0;0;0;0;0;0;0,96;12,8;14,8;0;0;0;0,2;0;0;0;0;0;0;0;0;0,04;0,06;0,36;0;0;0;0;2;;;;;;;;
FR14;197;Chontaduro pulpa cocida;15;1 cucharada;30;5,64;0,5;0,69;0;0;0;0;0;0;0;3,45;7,05;0;0;0;0,11;0;0;0;0;0;0;0;109,5;0,01;0,02;0,14;0;0;0;0;3;;;;;;;;
FR15;198;Durazno amarillo con cascara;65;1 unidad grande;30;7,8;0,65;0,07;0;0;0;0;0,52;0,46;0,98;6,5;22,75;0;0;0;0,52;0;0;0;0,26;0,46;0;0;58,5;0,03;0,02;0,33;0;0;0;0;19,5;;;;;;;;
FR16;199;Durazno amarillo sin cascara;70;1 unidad grande;30;7,77;0,49;0,07;0,01;0,02;0,04;0;0;0;0;3,5;8,4;0;137,9;4,9;0,07;0,1;0,05;0,04;0,28;0,49;0;0;37,8;0,01;0,03;0,7;0,12;0,01;2,1;0;4,9;;;;;;;;
FR17;200;Durazno blanco pulpa sin semilla;75;1 unidad grande;30;7,8;0,68;0,08;0;0;0;0;0;0;0;6;21,75;0;0;0;0,3;0;0;0;0;0;0;0;2,25;0,02;0,02;0,23;0;0;0;0;21;;;;;;;;
FR18;201;Feijoa sin cascara;65;1 unidad mediana;30;7,74;0,59;0;0;0;0;0;0;0;0;23,4;10,4;1,95;100,75;5,85;0,46;0,03;0,04;0,06;0;0;0;0;0;0,03;0,03;0,65;0,15;0,03;24,7;0;2,6;;;;;;;;
FR19;202;Frambuesa;60;1/2 pocillo;30;6,96;0,54;0,36;0,01;0,03;0,19;0;0;0;4,08;13,2;7,2;0;91,2;10,8;0,36;0,28;0,04;0,61;0,36;0,27;0;0;7,8;0,02;0,05;0,54;0,14;0,04;15,6;0;15;;;;;;;;
FR20;203;Fresas ;95;9 unidades;30;6,56;0,76;0,38;0,02;0,05;0,18;0;1,33;0,38;1,71;26,6;25,65;0,95;157,7;9,5;0,76;0,12;0,05;0,28;0,67;0,13;13,3;0;2,85;0,03;0,07;0,29;0,32;0,06;17,1;0;57;;;;;;;;
FR21;204;Guayaba blanca pulpa sin semillas;85;1 unidad grande;30;8,08;0,77;0,09;0;0;0;0;0;0;0;12,75;18,7;0;0;0;0,51;0;0;0;0;0;0;0;0;0,03;0,03;0,51;0;0;0;0;204;;;;;;;;
FR22;205;Granadilla jugo sin semillas;65;1 unidad;30;7,54;0,72;0,07;0;0;0;0;0;0;0;4,55;19,5;0;0;0;0,52;0;0;0;0;0;0;0;0;0;0,07;1,37;0;0;0;0;13;;;;;;;;
FR23;206;Guanabana pulpa;60;6 copos grandes;30;7,8;0,66;0,18;0,03;0,05;0,04;0;0;0;1,98;13,2;16,8;8,4;166,8;12,6;0,24;0,06;0,05;0;0,36;0,24;0;0;0;0,02;0,04;0,54;0,15;0,04;8,4;0;15;;;;;;;;
FR24;207;Kiwi sin cascara;50;1 unidad;30;7,45;0,5;0,2;0,02;0,02;0,12;0;0,4;0,45;0,85;13;20;2,5;166;15;0,2;0,09;0,08;0;0,3;0,56;0;0;9;0,01;0,03;0,25;0;0,05;19;0;49;;;;;;;;
FR25;208;Limon con cascara sin semillas;150;5 unidades pequeñas;30;16,05;1,8;0,45;0,06;0,02;0,14;0;0;0;7,05;91,5;22,5;4,5;217,5;18;1,05;0,15;0,39;0;0;0;0;0;4,5;0,08;0,06;0,3;0,35;0,17;0;0;115,5;;;;;;;;
FR26;209;Limon sin cascara ni semillas;105;4 unidades pequeñas;30;9,77;1,16;0,32;0,04;0,01;0,09;0;0;0;2,94;27,3;16,8;2,1;144,9;8,4;0,63;0,06;0,04;0,03;0;0;0;0;3,15;0,04;0,02;0,11;0,2;0,08;11,55;0;55,65;;;;;;;;
FR27;210;Limon jugo;120;4 onzas;30;10,32;0,48;0;0;0;0;0;0;0;0,48;8,4;7,2;1,2;148,8;7,2;0;0,06;0,04;0,01;0,12;0,11;0;0;2,4;0,04;0,01;0,12;0,12;0,06;15,6;0;55,2;;;;;;;;
FR28;211;Lulo jugo sin semillas;130;4 y 1/2 onzas;30;7,41;0,78;0,13;0;0;0;0;0;0;0;10,4;15,6;0;0;0;0,78;0;0;0;0;0;0;0;78;0,05;0,05;1,95;0;0;0;0;32,5;;;;;;;;
FR29;212;Mandarina pulpa;80;1 unidad;30;7,6;0,56;0,08;0,02;0,02;0,03;0;1,12;0,32;1,44;19,2;15,2;0,8;125,6;9,6;0,16;0,19;0,02;0,02;0,4;0,19;0;0;80;0,09;0,02;0,24;0,16;0,06;16;0;19,2;;;;;;;;
FR30;213;Mandarina jugo;70;2 onzas;30;7,07;0,35;0,14;0,01;0,03;0,03;0;0;0;0,14;12,6;9,8;0,7;124,6;5,6;0,14;0,02;0,02;0,03;0;0;0;0;29,4;0,04;0,01;0,07;0;0;0;0;21,7;;;;;;;;
FR31;214;Mango pulpa sin cascara;45;1 unidad pequeña;30;7,65;0,23;0,14;0,03;0,05;0,02;0;0;0;0,81;4,5;4,95;0,9;70,2;4,05;0,05;0,02;0,05;0,01;0,27;0,5;0;0;175,05;0,03;0,03;0,27;0,07;0,06;6,3;0;12,6;;;;;;;;
FR32;215;Manzana con cascara sin semillas ni corazon;50;1 unidad pequeña;30;7,65;0,1;0,2;0,03;0,01;0,06;0;0,9;0,1;1;3,5;3,5;0;57,5;2,5;0,1;0,02;0,02;0,03;0,15;0,16;2;0;2,5;0,01;0,01;0,05;0,03;0,03;1,5;0;3;;;;;;;;
FR33;216;Manzanas sin semillas ni cascara;55;1 unidad pequeña;30;8,14;0,11;0,17;0,03;0,01;0,05;0;0,72;0,11;0,83;2,2;3,85;0;62,15;1,65;0,06;0,02;0,02;0,01;0,17;0,18;0,25;0;2,2;0,01;0,01;0,06;0,03;0,03;0;0;2,2;;;;;;;;
FR34;217;Manzana jugo enlatado sin azucar ni Vit C;65;2 onzas;30;7,61;0,07;0,07;0,1;0,01;0,02;0;0;0;0,07;4,55;4,55;1,95;77,35;1,95;0,26;0,02;0,01;0,07;0,07;0,01;0;0;0;0,01;0,01;0,07;0,04;0,02;0;0;0,65;;;;;;;;
FR35;218;Maracuya morado pulpa sin semillas;60;1 unidad grande;30;6,6;0,9;0,3;0;0;0;0;0;0;6,24;5,4;12,6;0;0;0;1,02;0;0;0;0;0;0;0;103,8;0,01;0,1;0,48;0;0;0;0;12;;;;;;;;
FR36;219;Maracuya amarillo jugo;50;1 y 1/2 onzas ;30;7,25;0,35;0,1;0,1;0,01;0,06;0;0;0;0,1;2;12,5;3;139;8,5;0,2;0,03;0,03;0;0;0;0;0;120,5;0;0,07;1,1;0;0,3;4;0;9;;;;;;;;
FR37;220;Marañón o merey sin almendra;100;2 unidades;30;7,7;0,9;0,1;0;0;0;0;0;0;0;5;24;0;0;0;0,4;0;0;0;0;0;0;0;5;0,03;0,05;0,4;0;0;0;0;200;;;;;;;;
FR38;221;Melon amarillo pulpa;85;1 rodaja mediana;30;7,14;0,77;0,26;0,06;0,01;0,09;0;0,17;0,17;0,34;9,35;14,45;7,65;262,65;9,35;0,17;0,14;0,03;0,04;0,34;0,13;0;0;273,7;0,03;0,02;0,51;0,11;0,1;14,45;0;35,7;;;;;;;;
FR39;222;Moras pulpa;60;6 unidades;30;7,68;0,42;0,24;0,01;0,02;0,13;0;0;0;3,18;19,2;12,6;0;117,6;12;0,36;0,16;0,08;0,77;0,36;0,43;0;0;9,6;0,02;0,02;0,24;0,14;0,04;20,4;0;12,6;;;;;;;;
FR40;223;Moras castilla pulpa sin semilla;130;1/2 pocillo;30;7,28;0,78;0,13;0;0;0;0;0;0;0;54,6;13;0;0;0;2,21;0;0;0;0,78;0,92;0;0;0;0,03;0,07;0,39;10,4;0;0;0;10,4;;;;;;;;
FR41;224;Naranjas pulpa todas las variedades;65;1/2 unidad;30;7,67;0,59;0,07;0,01;0,01;0,02;0;0,91;0,46;1,37;26;9,1;0;117,65;6,5;0,07;0,05;0,03;0,02;0,33;0,16;0,88;0;13,65;0,06;0,03;0,18;0,16;0,04;19,5;0;34,45;;;;;;;;
FR42;225;Naranjas jugo;70;2 y 1/2 onzas;30;7,28;0,49;0,14;0,01;0,03;0,03;0;0;0;0,14;7,7;11,9;0,7;140;7,7;0,14;0,04;0,03;0,01;0,07;0,06;0,03;0;14;0,06;0,02;0,28;0,13;0,03;21;0;35;;;;;;;;
FR43;226;Naranjas jugo enlatado sin dulce;70;2 y 1/2 onzas;30;6,93;0,42;0,07;0,01;0,02;0,02;0;0;0;0,14;5,6;9,8;1,4;122,5;7,7;0,28;0,05;0,04;0,01;0,07;0,06;0;0;12,6;0,04;0,02;0,22;0,11;0,06;12,6;0;23,8;;;;;;;;
FR44;227;Nispero pulpa sin semillas;35;1 unidad pequeña;30;7,7;0,18;0,39;0,07;0,18;0;0;0;0;1,86;4,9;2,8;4,2;67,55;4,2;0,11;0,04;0,03;0;0,21;0,09;0;0;2,1;0;0,01;0,11;0,09;0,01;4,9;0;1,75;;;;;;;;
FR45;228;Papaya pulpa sin semillas;75;1 rebanada delgada;30;7,35;0,45;0,08;0,03;0,03;0,02;0;0;0;1,35;18;3,75;2,25;192,75;7,5;0,08;0,05;0,02;0,01;0,45;0,84;0;0;21;0,02;0,02;0,26;0,17;0,02;28,5;0;46,5;;;;;;;;
FR46;229;Papayuela pulpa sin semillas;190;2 y 1/2 unidades;30;7,41;1,33;0,19;0;0;0;0;0;0;0;19;20,9;0;0;0;0,57;0;0;0;0;0;0;0;19;0,04;0,06;1,14;0;0;0;0;133;;;;;;;;
FR47;230;Pera con cascara;50;1/2 unidad;30;7,55;0,2;0,2;0,01;0,04;0,05;0;0,2;1,2;1,4;5,5;5,5;0;62,5;3;0,15;0,06;0,06;0,04;0,5;0,25;0;0;1;0,01;0,02;0,05;0,04;0,01;3,5;0;2;;;;;;;;
